TID,FIRST_NAME,LAST_NAME,TYPE,TITLE,ABSTRACT
60,Sing-Yuan,Yeh,MS20: Manifold learning and statistical applications,"Landmark diffusion accelerates alternating diffusion maps for multi-sensor fusion
","Alternating Diffusion (AD) is a commonly applied diffusion-based sensor fusion algorithm. While it has been successfully applied to various problems, its computational burden remains limited. Inspired by the landmark diffusion idea considered in the Robust and Scalable Embedding via Landmark Diffusion (ROSELAND), we propose a variation of AD, called Landmark AD (LAD), which captures the essence of AD while offering superior computational efficiency. Through a series of theoretical analyses, we investigate the sample complexity of LAD within the manifold setup. We then apply LAD to address the automatic sleep stage annotation problem using two electroencephalogram channels, demonstrating its efficacy in practical applications.
"
61,Luca,Gemignani,"MS26: Utilizing structure to achieve low-complexity algorithms for data science, engineering, and physics",On the numerical solution of  nonLocal boundary value problems by matrix function computations,"Given a matrix $A\in \mathbb R^{s\times s}$ and a  vector $\mathbf {f} \in \mathbb{ R } ^s,$ under mild assumptions the non-local boundary value problem 
\begin{eqnarray*}
    &&\odv{\mathbf{u}}{\tau} = A \mathbf{u}, \quad 0<\tau<1,   \label{l1} \\
  &&\displaystyle \int_0^1 \mathbf{u}(\tau) \,\mathrm{d}\tau = \mathbf {f}, \label{l2}
\end{eqnarray*}
admits as unique solution
\[
 \mathbf{u}(\tau)= q(\tau,A) \mathbf {f}, \quad q(\tau,w)= \frac{w e^{w\tau}}{e^w -1}.
 \]
This talk  deals with efficient numerical methods for computing the action
of $q(\tau,A)$ on a vector,  when $A$ is a large and
  sparse matrix.  Methods based on the Fourier expansion of $q(\tau,w)$
are considered. First, we place
these methods in the classical framework of Krylov-Lanczos
(polynomial-rational) techniques for accelerating Fourier series.
This allows us to apply the convergence results developed in this
context to our function. Second, we design some  new acceleration schemes for computing $q(\tau,A) \mathbf {f}$. Numerical results are presented to show the effectiveness of
the proposed algorithms.


\emph{This is joint work with Lidia Aceto.}"
62,Shakir Showkat,Sofi,MS8: Tensor and quantum information science,Tensor train completion of multiway data observed in a single mode,"Tensor completion is an extension of matrix completion aimed at recovering a partially observed data tensor by leveraging the observations and the pattern of observation. Completion is more important for tensors than for matrices for several reasons. Higher-order datasets are larger, increasing the likelihood of missing or unreliable entries. Large-scale data often exhibits low-rank properties (intuitively, not every entry is ``equally important,'' unlike in smaller matrices). Many interesting problems can be framed as instances of low-rank tensor completion, including image and video recovery, collaborative filtering, and quantum state tomography \cite{liu2013tc, gross2010quantum}. Low-rank tensor completion is generally solved via convex optimization techniques. Current theories concerning these methods often study probabilistic recovery guarantees under conditions such as random uniform observations and incoherence requirements \cite{candes2009exact, liu2013tc}. However, if an observation pattern has some structure, more efficient algorithms can be developed by leveraging the structure.\par

Algebraic methods exploit the low-rank structure to design algorithms that rely solely on standard numerical linear algebra (NLA) operations. They are fast and are guaranteed to work under reasonable deterministic conditions on the observation pattern. In this line, a specific type of ``fiber-wise'' observation pattern has been discussed, where some of the fibers of a tensor (along a specific mode) are either fully observed or entirely missing, unlike the usual entry-wise observations. This observation is interesting because it appears in many real-life applications and highlights a key difference between matrices and tensors. While missing fibers (rows or columns) in a matrix make completion underdetermined, higher-order tensors can still be completed even if some fibers are entirely missing along one mode. It has been shown that under reasonable conditions, canonical polyadic decomposition (CPD) and multilinear singular value decomposition (MLSVD) of such an incomplete tensor can still be obtained using only standard NLA \cite{mikael2019fibersamp, stijn2023mlsvdfsj}. Note that there is an important difference with the technique of cross or skeleton approximation in the sense that we assume the availability of fibers in one mode only. \par

With the increasing prevalence of big data, the demand for reliable and scalable algorithms has become more pressing. The tensor train (TT) decomposition is stable and can break the curse of dimensionality \cite{oseledets2010tensortrain}. This talk shows how to extend the fiber-wise completion to the TT format. We discuss the deterministic conditions under which the uniqueness of the solution is guaranteed \cite{stijn2023mlsvdfsj, shakir2024ttfw}. Furthermore, we discuss a few interesting applications and briefly highlight the possibility of utilizing this tensor completion framework as a fundamental experimental primitive for efficient quantum state tomography with fewer measurements.

\begin{thebibliography}{7}
\bibitem{liu2013tc} J. Liu, P. Musialski, P. Wonka, and J. Ye. Tensor Completion for Estimating Missing Values in Visual Data. \textit{IEEE Trans. Pattern Anal. Mach. Intell.}, 35:208--220, 2013.

\bibitem{gross2010quantum} D. Gross, Y. K. Liu, S. T. Flammia, S. Becker, and J. Eisert. Quantum State Tomography via Compressed Sensing. \textit{Phys. Rev. Lett.}, 105(15):150401, 2010. APS.

\bibitem{candes2009exact} E. J. Cand{\`e}s and B. Recht. Exact Matrix Completion via Convex Optimization. \textit{Found. Comput. Math.}, 9(6):717--772, 2009. Springer.


\bibitem{mikael2019fibersamp} M. S{\o}rensen and L. De Lathauwer. Fiber Sampling Approach to Canonical Polyadic Decomposition and Application to Tensor Completion. \textit{SIAM J. Matrix Anal. Appl.}, 40:888--917, 2019.

\bibitem{stijn2023mlsvdfsj} M. S{\o}rensen, S. Hendrikx, and L. De Lathauwer. Multilinear Singular Value Decomposition Based Completion with Fibers Observed in a Single Mode. \textit{SIAM J. Matrix Anal. Appl.}, 2025. [Accepted for publication], \url{https://ftp.esat.kuleuven.be/pub/stadius//shendrik/hendrikx2023mlsvdfibersimax.pdf}.

\bibitem{oseledets2010tensortrain} I. Oseledets. Tensor-Train Decomposition. \textit{SIAM J. Sci. Comput.}, 33:2295--2317, 2011.

\bibitem{shakir2024ttfw} S. S. Shakir, S. Hendrikx, and L. De Lathauwer. Tensor Train Completion of Multi-Way Data Observed Along One Mode. In \textit{Proc. 32nd EUSIPCO}, pages 1067--1071, 2024. IEEE.
\end{thebibliography}"
63,Leonardo,Robol,MS18: New methods in numerical multilinear algebra,A multilinear Nyström algorithm for low-rank approximation of tensors in Tucker format,"The Nystr\""om method offers an effective way to obtain low-rank approximation of SPD matrices and has been recently extended and analyzed to nonsymmetric matrices (leading to the generalized Nystr\""om method). It is a randomized, single-pass, streamable, cost-effective, and accurate alternative to the randomized SVD, and it facilitates the computation of several matrix low-rank factorizations. We take these advancements a step further by introducing a higher-order variant of Nystrom’s methodology tailored to approximating low-rank tensors in the Tucker format: the multilinear Nystr\""om technique. We show that, by introducing appropriate small modifications in the formulation of the higher-order method, strong stability properties can be obtained. This algorithm retains the key attributes of the generalized Nystr\""om method, positioning it as a viable substitute for the randomized higher-order SVD algorithm."
64,Miguel,Rojas Rodríguez,Contributed talk,Matrix analysis of orthogonal polynomials and uvarov perturbations,"In this talk, we emphasize the decisive role of matrix analysis in studying orthogonal polynomials. The theory of classical orthogonal polynomials and matrix analysis naturally arises in the study of tridiagonal matrices (Jacobi matrices), whose spectrum, under certain conditions, coincides with the support of a measure associated with a sequence of orthogonal polynomials. Furthermore, the GaussâBorel factorization of the moment matrix plays a fundamental role in characterizing orthogonality and uncovering key structural properties. \\
We focus on MMOP, which are orthogonal polynomials with respect to a matrix of measures. In this case, the associated Jacobi matrix is a banded matrix, where the number of nonzero diagonals depends on the size of the measure. Within this framework, we study how orthogonal polynomials transform when the matrix of measures undergoes matrix polynomial perturbations. The most general perturbation we consider follows Uvarovâs form:   \\
    $ \mathrm{d}\tilde{\mu}(x) R(x) = L(x) \mathrm{d} \mu(x),$\\
where $R(x),\,L(x)$ are polynomial matrices, $\mathrm{d} \mu (x)$ is the original measure matrix, and $\mathrm{d} \tilde{\mu}(x)$ is the perturbed measure matrix. By taking $R(x) = I$ or $L(x) = I$, we obtain a Christoffel or Geronimus perturbation, respectively.   \\
The main contribution of our work is the generalization of these perturbations beyond diagonal matrix polynomials, extending the theory to include cases with non-monic leading matrices. This generalization leads to an analysis of the spectral properties of the perturbation matrix polynomials. Furthermore, we reduce the problem of ensuring orthogonalityâframed as a question of the quasi-definiteness of a matrix measureâto a linear algebra problem involving the compatibility of certain systems of linear equations."
65,JunJun,Pan,Contributed talk,The importance of linear algebra,"Linear algebra is a fundamental branch of mathematics that underpins numerous scientific and technological advancements. It provides essential tools for solving systems of equations, transforming geometric spaces, and analyzing data. With applications in engineering, computer science, physics, economics, and machine learning, linear algebra plays a crucial role in modern innovations, from image processing to artificial intelligence. 
"
66,Sachindranath,Jayaraman,Contributed talk,"Quaternion matrix polynomials: location of eigenvalues
","A right quaternion matrix polynomial is an expression of the form 
$P(\lambda) = \displaystyle \sum_{i=0}^{m}A_i \lambda^i$, where 
$A_i \in M_n(\mathbb{H})$ with $A_m \neq 0$, where 
$M_n(\mathbb{H})$ is the set of all square matrices from the ring of quaternions. 
A quaternion $\lambda_0 \in \mathbb{H}$ is a right eigenvalue of $P(\lambda)$ 
if there exists a nonzero vector $y \in \mathbb{H}^n$ such that 
$\displaystyle \sum_{i=0}^{m}A_i  y\lambda_0^i  =0$. The purpose of this talk is to 
bring out some recent results about the location of right eigenvalues of $P(\lambda)$ 
relative to certain subsets of the set of quaternions. The notion of (hyper)stability of 
complex matrix polynomials is extended to quaternion matrix polynomials and 
results are obtained about right eigenvalues of $P(\lambda)$ by  
$(1)$ giving a relation between (hyper)stability of a quaternion matrix polynomial and 
its complex adjoint matrix polynomial, and then by $(2)$ proving that $P(\lambda)$ is 
stable with respect to an open (closed) ball in the set of quaternions, centered at a complex 
number if and only if it is stable with respect to its intersection with the set of 
complex numbers.  We derive as a consequence of the above that right 
eigenvalues of $P(\lambda)$ lie between two concentric balls of specific radii in the 
set of quaternions centered at the origin. A generalization of the 
Enestr{\""o}m-Kakeya theorem to quaternion matrix polynomials is obtained as an 
application. Finally, we also identify classes of quaternion matrix polynomials for 
which stability and hyperstability are equivalent.  This talk is based on the following paper.

\begin{itemize}
\item Pallavi Basavaraju, Shrinath Hadimani and Sachindranath Jayaraman, 
\textit{Stability of quaternion matrix polynomials}, appecped for publication, 
\textit{Linear Algebra, Matrices and their Applications}, Contemporary Mathematics, 
AMS, Edited by Surender Kumar Jain, Manjunatha Prasad Karantha, Steve Kirkland, 
Vinay Madhusudanan, Srinivasa Siva Rama Krishna Rao Taduri.
\end{itemize}

"
67,Hitesh,Kumar,Contributed talk,"New results on second eigenvalue extremization
"," For an $n$-vertex graph $G$ with adjacency matrix $A(G)$, let $\lambda_1$ and $\lambda_2$ denote the first and the second largest eigenvalue of $A(G)$. The extremization problem for $\lambda_1$ has been extensively investigated in the literature. The second eigenvalue has been investigated primarily for regular graphs, and there are relatively fewer results on $\lambda_2$-extremization. In this talk, the speaker will discuss several new results on $\lambda_2$-extremization, which include:
\begin{enumerate}
 \item determining extremal trees of given order and diameter having maximum/minimum $\lambda_2$.
 \item determining complements of trees with given order and maximum/minimum $\lambda_2$.
 \item determining extremal trees of given order for the convex combination of $\lambda_1$ and $\lambda_2$, and the asymptotic behaviour of the convex combination. 
\end{enumerate}
The results are based on joint work with several people: Saieed Akbari, Bojan Mohar,  Shivaramakrishna Pragada, and Hanmeng Zhan.
"
68,Zoran,Tomljanovic,MS6: Model Reduction,Efficient solution of sequences of parametrized Lyapunov equations with applications,"The solutions of parametrized Lyapunov equations frequently serve as intermediate steps in a broader procedure aimed at computing $trace(EX)$, where $X$ represents the solution to the Lyapunov equation and $E$ is a given matrix. Our focus is on studying problems where the parameter dependence of the coefficient matrix is encoded as a low-rank modification of a fixed, seed matrix.\\
We propose two novel numerical procedures that fully exploit such a common structure. The first one builds upon the Sherman-Morrison-Woodbury   formula and recycling Krylov techniques, and it is well-suited for small dimensional problems as it uses dense numerical linear algebra tools. The second algorithm can instead address large-scale problems by relying on state-of-the-art projection techniques based on the extended Krylov subspace. We test the new algorithms on several problems arising in studying damped vibrational systems and analyzing output synchronization problems for multi-agent systems. Our results show that the proposed algorithms are superior to state-of-the-art techniques as they can remarkably speed up the computation of accurate solutions.\\
This is joint work with Davide Palitta, Ivica Naki\'{c} and Jens Saak."
69,Li-Gang,Lin,MS1: Embracing new opportunities in numerical linear algebra,Fast SDDRE-based maneuvering-target interception at prespecified orientation,"This talk considers the 3-D guidance law based on target lead angle information and the state-dependent differential Riccati equation (SDDRE) scheme. In an application-oriented manner, it presents theories to significantly improve critical computational performance and thus aims at a fast implementation for impact-angle-constrained interception of agile maneuvering targets. More specifically, regarding the two major computational burdens using SDDRE, we have replaced the burden in numerical applicability checking by a simple, equivalent, and closed-form condition for the entire state space, which is actually the dominant burden as supported by complexity analysis and extensive validations. Notably, the proposed analysis not only complements the early findings of applicability guarantee in literature, but also promotes the efficiency of the proposed philosophy when compared to the classic method, where the latter has caused concerns/reservations due to its feasibility and difficulty. On the other hand, we have largely mitigated the second major burden of SDDRE by -- after exhaustive trials -- selecting the most efficient Riccati-equation solver until the latest benchmarks. Such evaluations are: 1) in favor of a much-less-known achievement, rather than the common QR-based benchmark and 2) subject to both numerical and hardware experiments including, notably, implementations on microcontrollers and field-programmable gate arrays.
"
70,Kristian,Sabo,Contributed talk,A method for searching for a globally optimal k-partition of higher-dimensional datasets,"Finding a globally optimal \( k \)-partition of a set is a highly complex optimization problem. In general, except for the special case of one-dimensional data (i.e., data with a single feature), no exact solution method exists. In the one-dimensional case, efficient methods leverage the fact that the problem can be reformulated as a global optimization task for a symmetric Lipschitz-continuous function, which can be solved using the global optimization algorithm DIRECT.   We propose a method for finding a globally optimal \( k \)-partition in the general case (\( n \)-dimensional data, \( n > 1 \)), extending an approach originally designed for solving Lipschitz global optimization for symmetric functions. Our method integrates a global optimization algorithm with linear constraints and the \( k \)-means algorithm. The global optimization component is used solely to generate a high-quality initial approximation for \( k \)-means.   We evaluated our approach on multiple artificial datasets and several benchmark examples from the UCI Machine Learning Repository. The results demonstrate that the proposed method is more efficient compared to some other methods from the literature. "
71,Tamas,Titkos,"MS35: Preserver Problems, II",Isometries of Lipschitz free Banach spaces,"In the first part of the talk, I will focus on isometries of $\mathcal{W}_p(M)$ spaces, mainly in the case when $p=1$ -- the case which is closely connected to the theory of Lipschitz-free spaces. It is known that if $F$ is an isometry of M, then its push-forward $F_{\#}$ is an isometry of $\mathcal{W}_p(M)$. A natural question arises: is this embedding surjective? We know several concrete examples where the answer is yes, but the answer, in general, is no. In the second part of the talk, I will present some new results about isometries of Lipschitz-free spaces. In particular, I will describe surjective linear isometries and linear isometry groups of a large class of Lipschitz-free spaces.
"
72,Susana,Furtado,MS21: Linear algebra techniques in graph theory,Approximation of reciprocal matrices by consistent matrices,"An $n$-by-$n$ matrix $A=[a_{ij}]$ is said to be a pairwise comparison matrix (PC matrix)
or a reciprocal matrix if it is positive and $a_{ij}=\frac{1}{%
a_{ji}},$ for all $i,j=1,\ldots ,n.$ If, in addition, $a_{ik}a_{kj}=a_{ij}$ for
all $i,j,k,$ the matrix is said to be consistent. Such a matrix is of the
form $ww^{(-T)}$ for some positive vector $w$, in which $w^{(-T)}$ is the transpose of the entrywise
inverse of $w$.

PC matrices play an important role in decision making, namely in models for ranking
alternatives, as the Analytic Hierarchy Process,  proposed by Saaty (1977). 
In these models, a PC matrix represents independent, pairwise, ratio
comparisons among $n$ alternatives and a cardinal ranking vector should be
obtained from it. The consistent matrix constructed from this vector should
be a good approximation of the PC matrix. So, it is desirable to choose a
ranking vector from the set of efficient vectors, as, otherwise, there would
be a positive vector such that the consistent matrix constructed from it
better approximates the PC matrix in at least one entry and is not worse in
all other entries. 

It is known that a positive vector $w$ is efficient for a PC matrix $A$ if
and only if a certain directed graph associated with $A$ and $w$ is strongly
connected. Based on this result, here we give a description of the set of
efficient vectors for a PC matrix as a union of a finite number of
convex sets and discuss some of its consequences. In particular, tight lower
and upper bound matrices for the consistent matrix constructed from an
efficient vector are given. 

(This is a joint work with Charles~Johnson.) 
"
73,Yi-Lin,Lee,MS25: Enumerative/algebraic combinatorics and matrices,"Domino tilings, domino shuffling, and the nabla operator","In this talk, I will present a $q,t$-generalization of domino tilings of certain regions $R_\lambda$, indexed by partitions $\lambda$, weighted according to generalized area and dinv statistics. These statistics arise from the $q,t$-Catalan combinatorics and Macdonald polynomials. We present a formula for the generating polynomial of these domino tilings in terms of the Bergeron--Garsia nabla operator. When $\lambda = (n^n)$ is a square shape, domino tilings of $R_\lambda$ are equivalent to those of the Aztec diamond of order $n$. In this case, we give a new product formula for the resulting polynomials by domino shuffling and its connection with alternating sign matrices. In particular, we obtain a combinatorial proof of the joint symmetry of the generalized area and dinv statistics. This is based on joint work with Ian Cavey."
74,Osamu,Hatori,MS12: Preserver problems,"Isometries on groups of invertible elements in Fourier-Stieltjes algebras
%The importance of linear algebra","If open subgroups of the groups of invertible elements in two Fourier-Stieltjes algebras are isometric as metric spaces, then the underlying locally compact groups are topologically isomorphic.
"
75,Aida,Abiad,MS17: Graphs and matrices in honor of Leslie Hogben's retirement,"Recent developments of switching methods for the construction of cospectral graphs
","Switching is an operation on a graph that does not change the spectrum of the adjacency matrix, thus producing cospectral graphs. An important activity in the field of spectral graph theory is the characterization of graphs by their spectrum. Hence, switching provides a tool for disproving the existence of such a characterization. 

In this talk we will overview recent progress on switching methods for the construction of cospectral graphs. Work by Wang and Xu (2010) suggests that most cospectral graphs with cospectral complements can be constructed using regular orthogonal matrices of level 2, which has relevance for Haemers' conjecture. In this direction, we will present two new switching methods based on regular orthogonal matrices of level 2. We will also show a general framework for counting the number of graphs that have a non-isomorphic cospectral graph through any of the existing switching methods for the adjacency matrix, expanding on the work by Haemers and Spence (2004).  

This is joint work with Nils van de Berg and Robin Simoens.
"
76,Michiya,Mori,MS12: Preserver problems,"On the Scottish Book Problem 155 by Mazur and Sternbach
","The Scottish Book was a notebook used by mathematicians of the Lw\'ow School of Mathematics in Poland to collect unsolved problems in mathematics.
Problem 155 of the Scottish Book asks whether every bijection $U\colon X\to Y$ between two Banach spaces $X, Y$ with the property that, each point of $X$ has a neighborhood on which $U$ is isometric, is globally isometric on $X$. 
In this talk, I will explain that this is true under the additional assumption that $X$ is separable and the weaker assumption of surjectivity instead of bijectivity.
"
77,Franklin,Kenter,MS15: Graphs and their eigenvalues: Celebrating the work of Fan Chung Graham,A geometric adaptation of the Chung-Lu graph model,"The Chung-Lu graph model specifies the expected degree of each vertex in a graph and, provided the degree distribution is not excessively skewed, generates a random graph where the existence of each edge is determined independently.

A common characteristic of many ``real-world'' graphs is a degree distribution that follows an inverse power law. Specifically, the number of vertices with degree $x$ is proportional to $x^\beta$, where $\beta$ typically ranges between 1 and 3. The Chung-Lu model offers a straightforward approach to capturing this power-law behavior in synthetic networks.

We extend the Chung-Lu model to random geometric graphs. In this extension, each vertex is assigned both an expected degree and a random position in Euclidean space according to a probability distribution. Once the vertices are placed, the realization of each edge occurs independently of others. We rigorously establish the conditions necessary to ensure that the assigned degrees align with the expected degrees. This geometric Chung-Lu model is tested on the connectome of the \emph{Drosophila} medulla (fruit fly), where the random model successfully replicates the graph-theoretical structure of the original network, including the eigenvalues of various graph-theoretic matrices.

This is joint work with Susama Agarwala.
"
78,Franklin,Kenter,MS17: Graphs and matrices in honor of Leslie Hogben's retirement,"Leaky forcing: extending zero forcing results to a fault-tolerant setting
","We study a recent variation of zero forcing called leaky forcing.  Zero forcing is a propagation process on a network whereby some nodes are initially blue with all others white. Blue vertices can ``force'' a white neighbor to become blue if all other  neighbors are blue. The goal is to find the minimum number of initially blue vertices to eventually force all vertices blue after exhaustively applying the forcing rule above.
Leaky forcing is a fault-tolerant variation of zero forcing where certain vertices (not necessarily initially blue) cannot force. The goal in this context is to find the minimum number of initially blue vertices needed that can eventually force all vertices to be blue, {\it regardless} of which small number of vertices can't force.

This work extends results from zero forcing in terms of leaky forcing. New results regarding leaky forcing presented here include:
\begin{itemize}
\item Complete determination of all leaky forcing numbers for all unicyclic graphs.
\item Robust upper bounds for generalized Petersen graphs.
\item Bounds for the effect of both edge removal and vertex removal.
\item A complete characterization for which connected graphs have the maximum possible $1$-leaky forcing number (i.e., when $Z_{(1)}(G) = |V(G)|-1$).
\end{itemize}

This is joint work with 
Beth Bjorkman, Lei Cao, Ryan Moruzzi, Carolyn Reinhart and Violeta Vasilevska and is part of the AIM Mathematical Research Communities. 
"
79,Koushik,Bhakta,Contributed talk,Grover walks on unitary Cayley graphs and integral regular graphs,"Quantum walk on graphs is an important concept that lies at the intersection of quantum information and graph theory. There are two types of quantum walk: continuous-time quantum walk and discrete-time quantum walk. We focus on the Grover walk, a type of discrete-time quantum walk. The unitary Cayley graph  has vertex set $\{0,1, \hdots ,n-1\}$, where two vertices  $u$ and $v$ are adjacent if $\gcd(u - v, n) = 1$. We study periodicity and perfect state transfer of Grover walks on the unitary Cayley graphs. We characterize all periodic unitary Cayley graphs. We prove that periodicity is a necessary condition for the occurrence of perfect state transfer on a vertex-transitive graph. Also, we provide a necessary and sufficient condition for the occurrence of perfect state transfer on circulant graphs. Using these, we prove that only four graphs in the class of unitary Cayley graphs exhibit perfect state transfer. Also, we provide a spectral characterization of the periodicity of Grover walks on integral regular graphs.
"
80,Enide,Andrade,MS21: Linear algebra techniques in graph theory,"Doubly stochastic matrices and graphs
","In this talk we present a study about inverses of modified Laplacian matrices; the modification is by adding the
identity matrix which gives a positive definite matrix. We investigate the relationship between
the underlying graph and the properties of this inverse. 

%Some related questions are also
%. The questions and objects are of interest to the matrix theory community and may also
%be of interest in applications involving Laplacians.



"
81,Geir,Dahl,MS24: Nonnegative and related families of matrices,"Near-derangements and polytopes
","A derangement is a permutation with no fixed point. This talk deals with  {\em near-derangements}, defined as permutations with at most one fixed point. We present some properties of  the corresponding set of permutation matrices $\mathcal{P}^{(\le 1)}_n$. 
  Also, we briefly discuss  the polytope determined by $\mathcal{P}^{(\le 1)}_n$ and the related polytope $\mathcal{P}^*$ of  all $n\times n$  doubly stochastic matrices with trace at most 1.
  In particular, all its  extreme points of $\mathcal{P}^*$ are determined. 
This is joint work with Richard A. Brualdi.
"
82,Zilin,Jiang,MS2: Combinatorial matrix theory,"Median eigenvalues of subcubic graphs
","We present a resolution to conjectures by Fowler, Pisanski, and Mohar regarding the median eigenvalues of subcubic (chemical) graphs. Specifically, we prove that the median eigenvalues of every connected graph with maximum degree at most three, except for the Heawood graph, lie within the interval $[-1, 1]$. This result has significant implications in mathematical chemistry, particularly in the analysis of molecular orbital models, and extends prior work on bipartite chemical graphs.
"
83,Kshitij,Sharma,Contributed talk,"Combinatorial description of the inverse of the adjacency matrix of non-bipartite bicyclic graphs
","Barik et al. [On nonsingular trees and a reciprocal eigenvalue property, Linear Multilinear Algebra, 54(6)(2006) 453-465] provided a combinatorial description of the inverse of the adjacency matrix for bipartite graphs in terms of $mm$-alternating paths, enabling deeper exploration of bipartite graph properties. However, for non-bipartite graphs, a similar framework remained an open challenge. In 2022, a combinatorial description was established for non-bipartite unicyclic graphs.
This paper advances the understanding of non-bipartite graphs by providing a comprehensive combinatorial description of the inverse of the adjacency matrix for non-bipartite bicyclic graphs, utilizing $mm$-alternating paths between vertices. It further determines the conditions under which the adjacency matrix of a bicyclic graph is unimodular and establishes criteria for the adjacency matrix of a non-bipartite graph to be signable. Additionally, it is definitively shown that the inverse graph of a non-bipartite bicyclic graph remains non-bipartite, reinforcing the structural properties of such graphs.

"
84,Helena,Smigoc,MS2: Combinatorial matrix theory,"Characteristic polynomials of structured nonnegative matrices
","We consider the set of characteristic polynomials of nonnegative Hessenberg matrices. We show that this set is closed under the subtraction of polynomials with nonnegative coefficients, and explore the implications of this result. In particular, we generate a large set of characteristic polynomials of nonnegative Hessenberg matrices. We further discuss the zero-nonzero patterns of the corresponding realising matrices.
"
85,Helena,Smigoc,MS27: Linear algebra education,"Posing a question
","Linear algebra is included in the curriculum for students pursuing various degrees such as computer science, biology, engineering, and pure mathematics. When students from different fields are in the same classroom, it can be challenging to tailor instruction to meet everyone's needs.  We will explore ways of setting a problem in this context, with the aim to motivate students with diverse interests, and  develop their understanding of the topic.
"
86,Masatoshi,Ito,MS29: Matrix functions and related topics,"The weighted power difference mean and its generalization
","Pal, Singh, Moslehian and Aujla (2016) introduced the weighted logarithmic mean for two positive numbers
 or operators on a complex Hilbert space, which is based on an extension of the Hermite-Hadamard inequality.
Furuichi and Minculete (2020) obtained a refinement of the inequality by Pal et al.
On the other hand, we discussed relations among some weighted operator means
 by considering the notion of a transpose symmetric path of weighted means,
 and we introduced the weighted Heinz mean.
In this talk, based on these arguments,
 we  newly introduce the weighted power difference mean and get relations
 among the weighted power, power difference and arithmetic means.
Moreover, we generalize these results from the viewpoint of a transpose symmetric path.

"
87,Takeshi,Miura,MS12: Preserver problems,"Surjective isometries on Banach spaces with derivatives
","We shall give the characterization of surjective, possibly nonlinear,
isometries from Banach spaces with derivatives.
This unifies the former results on isometries on the following
Banach spaces:
\begin{enumerate}
\item
$C^1([0,1])$ of all continuously differentiable complex-valued functions
on the closed interval $[0,1]$.

\item
The Banach space of all continuous extensions to $\overline{\mathbb{D}}$,
the closure of the open unit disc $\mathbb{D}$,
of all analytic functions on $\mathbb{D}$,
which can be extended to continuous functions on $\overline{\mathbb{D}}$.

\item
The Banach space of all Gelfand transforms of analytic functions
on $\mathbb{D}$ whose derivatives are bounded on $\mathbb{D}$.
\end{enumerate}
"
88,Ngoc Muoi,Bui,MS7: Linear algebra and quantum information science,"On entanglement-breaking quantum channels
","Entanglement breaking (EB) channel is a completely positive and trace-preserving linear operator that disrupts the entanglement between the input system with any system. Examples of EB channels include depolarizing channels, quantum-classical channels, etc. We will discuss some characterizations of the class of EB channels for finite- and infinite-dimensional quantum systems. In particular, we show some sufficient conditions for channels to be EB."
89,Peter Chang-Yi,Weng,MS1: Embracing new opportunities in numerical linear algebra,"Generalized Smith method for large-scale nonsymmetric algebraic Riccati equations
","This paper presents an effective algorithm about a computation of the numerical
low-rank solution to a large-scale nonsymmetric algebraic Riccati equation with
a nonsingular $M$-matrix. The method first applies the Newton’s method to compute the nonsymmetric algebraic Riccati equation, followed by a derivation of
generalized Sylvester equations. By extending the Smith method, the proposed
algorithm achieves a quadratic convergence and has the $O(n)$ computational
complexity. A detailed convergence, error analysis, truncation and compression
process, and numerical examples will be provided."
90,Emanuel Juliano,Morais Silva,MS2: Combinatorial matrix theory,"Spectral upper bounds for the Grundy number of a graph
","The Grundy number of a graph is the minimum number of colors needed to properly color the graph using the first-fit greedy algorithm regardless of the initial vertex ordering. Computing the Grundy number of a graph is an NP-Hard problem. There is a characterization in terms of induced subgraphs: a graph has a Grundy number at least k if and only if it contains a $k$-atom. 
In this talk, we focus on a natural quotient matrix of the adjacency matrix of $k$-atoms and use its combinatorial properties to derive bounds on the Grundy number in terms of the largest eigenvalue and the size of the graph.
This talk is based on a joint work with Gabriel Coutinho and Thiago Assis.
"
